canonical_smiles,pIC50
Brc1ccc(-c2csc(N/N=C/c3ccccn3)n2)cc1,5.022276394711152
C#CCCCCOC1=CC(=O)N(C(=O)/C=C/[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)OC(=O)[C@H]([C@@H](C)CC)N(C)C)[C@@H]1C,9.327902142064282
C(=C/c1ccccc1)\CN1CCN(C(c2ccccc2)c2ccccc2)CC1,3.714728530059051
C/C(=N/N=C(/N)S)c1cccc(/C(C)=N/N=C(/N)S)c1,5.301029995663981
C/C(=N/NC(N)=S)C1=CCCc2ccccc21,4.698970004336019
C/C(=N/OC(=O)c1ccccc1)c1ccc2c(c1)N(CCCN(C)C)c1ccccc1S2,3.690369832574101
C/C(=N\N=C(/S)N1CCCCC1)c1cccc(Br)c1,5.301029995663981
C/C(=N\N=C(/S)N1CCN(C)CC1)c1cccc(Br)c1,5.301029995663981
C/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,7.221921144096424
C/C(=N\N=C(\N)S)c1ccc(-c2ccccc2)cc1,5.301019862480728
C/C(=N\N=C(\N)S)c1ccc(Br)s1,5.42021640338319
C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,7.163091560464783
C/C(=N\N=C(\N)S)c1ccc(Cl)s1,5.721246399047171
C/C(=N\N=C(\N)S)c1ccc(N2CCOCC2)cc1,5.0
C/C(=N\N=C(\N)S)c1ccc(Nc2ccccc2)cc1,4.698970004336019
C/C(=N\N=C(\N)S)c1ccc(Oc2ccccc2)cc1,5.0
C/C(=N\N=C(\N)S)c1cccc(-c2ccccc2)c1,5.096955075735973
C/C(=N\N=C(\N)S)c1cccc(Br)c1,6.960348999690674
C/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,6.769704440232881
C/C(=N\N=C(\N)S)c1cccc(Nc2ccccc2)c1,4.698970004336019
C/C(=N\N=C(\N)S)c1cccc(Oc2ccccc2)c1,5.0
